healthy_index,healthy_path,healthy_stem,label_global_index,label_path,label_stem,case_dir,center,crop_bounds,used_label_crop_voxels,final_label_voxels
157,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI516-HH-2297-T1_preprocessed.nii.gz,IXI516-HH-2297-T1,492,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02072-103-seg.nii.gz,BraTS-GLI-02072-103,data\IXI_GLI\IXI516-HH-2297-T1__BraTS-GLI-02072-103,"[100, 84, 116]","{""x_min"": 52, ""x_max"": 148, ""y_min"": 36, ""y_max"": 132, ""z_min"": 68, ""z_max"": 164}",112431,112431
158,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI248-HH-1972-T1_preprocessed.nii.gz,IXI248-HH-1972-T1,493,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02923-101-seg.nii.gz,BraTS-GLI-02923-101,data\IXI_GLI\IXI248-HH-1972-T1__BraTS-GLI-02923-101,"[105, 82, 138]","{""x_min"": 57, ""x_max"": 153, ""y_min"": 34, ""y_max"": 130, ""z_min"": 90, ""z_max"": 186}",10036,10036
159,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI446-HH-2325-T1_preprocessed.nii.gz,IXI446-HH-2325-T1,495,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02965-101-seg.nii.gz,BraTS-GLI-02965-101,data\IXI_GLI\IXI446-HH-2325-T1__BraTS-GLI-02965-101,"[104, 62, 59]","{""x_min"": 56, ""x_max"": 152, ""y_min"": 14, ""y_max"": 110, ""z_min"": 11, ""z_max"": 107}",14930,14930
160,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI241-Guys-0833-T1_preprocessed.nii.gz,IXI241-Guys-0833-T1,498,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02217-104-seg.nii.gz,BraTS-GLI-02217-104,data\IXI_GLI\IXI241-Guys-0833-T1__BraTS-GLI-02217-104,"[167, 78, 129]","{""x_min"": 119, ""x_max"": 215, ""y_min"": 30, ""y_max"": 126, ""z_min"": 81, ""z_max"": 177}",37085,37085
161,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI342-Guys-0909-T1_preprocessed.nii.gz,IXI342-Guys-0909-T1,499,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02199-102-seg.nii.gz,BraTS-GLI-02199-102,data\IXI_GLI\IXI342-Guys-0909-T1__BraTS-GLI-02199-102,"[150, 105, 154]","{""x_min"": 102, ""x_max"": 198, ""y_min"": 57, ""y_max"": 153, ""z_min"": 106, ""z_max"": 202}",42531,42531
162,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI031-Guys-0797-T1_preprocessed.nii.gz,IXI031-Guys-0797-T1,500,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02287-100-seg.nii.gz,BraTS-GLI-02287-100,data\IXI_GLI\IXI031-Guys-0797-T1__BraTS-GLI-02287-100,"[87, 97, 156]","{""x_min"": 39, ""x_max"": 135, ""y_min"": 49, ""y_max"": 145, ""z_min"": 108, ""z_max"": 204}",63998,63998
163,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI565-HH-2534-T1_preprocessed.nii.gz,IXI565-HH-2534-T1,502,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02800-100-seg.nii.gz,BraTS-GLI-02800-100,data\IXI_GLI\IXI565-HH-2534-T1__BraTS-GLI-02800-100,"[71, 157, 148]","{""x_min"": 23, ""x_max"": 119, ""y_min"": 109, ""y_max"": 205, ""z_min"": 100, ""z_max"": 196}",37987,37987
164,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI327-HH-1999-T1_preprocessed.nii.gz,IXI327-HH-1999-T1,505,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02175-102-seg.nii.gz,BraTS-GLI-02175-102,data\IXI_GLI\IXI327-HH-1999-T1__BraTS-GLI-02175-102,"[156, 87, 122]","{""x_min"": 108, ""x_max"": 204, ""y_min"": 39, ""y_max"": 135, ""z_min"": 74, ""z_max"": 170}",73156,73156
165,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI165-HH-1589-T1_preprocessed.nii.gz,IXI165-HH-1589-T1,509,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02548-100-seg.nii.gz,BraTS-GLI-02548-100,data\IXI_GLI\IXI165-HH-1589-T1__BraTS-GLI-02548-100,"[151, 133, 170]","{""x_min"": 103, ""x_max"": 199, ""y_min"": 85, ""y_max"": 181, ""z_min"": 122, ""z_max"": 218}",41462,41462
166,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI439-HH-2114-T1_preprocessed.nii.gz,IXI439-HH-2114-T1,511,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02145-100-seg.nii.gz,BraTS-GLI-02145-100,data\IXI_GLI\IXI439-HH-2114-T1__BraTS-GLI-02145-100,"[154, 108, 120]","{""x_min"": 106, ""x_max"": 202, ""y_min"": 60, ""y_max"": 156, ""z_min"": 72, ""z_max"": 168}",25907,25907
167,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI324-Guys-0922-T1_preprocessed.nii.gz,IXI324-Guys-0922-T1,513,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02835-100-seg.nii.gz,BraTS-GLI-02835-100,data\IXI_GLI\IXI324-Guys-0922-T1__BraTS-GLI-02835-100,"[171, 134, 116]","{""x_min"": 123, ""x_max"": 219, ""y_min"": 86, ""y_max"": 182, ""z_min"": 68, ""z_max"": 164}",34383,34383
168,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI130-HH-1528-T1_preprocessed.nii.gz,IXI130-HH-1528-T1,516,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02767-100-seg.nii.gz,BraTS-GLI-02767-100,data\IXI_GLI\IXI130-HH-1528-T1__BraTS-GLI-02767-100,"[179, 82, 145]","{""x_min"": 131, ""x_max"": 227, ""y_min"": 34, ""y_max"": 130, ""z_min"": 97, ""z_max"": 193}",803,803
169,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI544-HH-2395-T1_preprocessed.nii.gz,IXI544-HH-2395-T1,517,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02170-100-seg.nii.gz,BraTS-GLI-02170-100,data\IXI_GLI\IXI544-HH-2395-T1__BraTS-GLI-02170-100,"[133, 194, 164]","{""x_min"": 85, ""x_max"": 181, ""y_min"": 146, ""y_max"": 242, ""z_min"": 116, ""z_max"": 212}",12638,12638
170,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI214-HH-1636-T1_preprocessed.nii.gz,IXI214-HH-1636-T1,518,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02813-100-seg.nii.gz,BraTS-GLI-02813-100,data\IXI_GLI\IXI214-HH-1636-T1__BraTS-GLI-02813-100,"[122, 82, 165]","{""x_min"": 74, ""x_max"": 170, ""y_min"": 34, ""y_max"": 130, ""z_min"": 117, ""z_max"": 213}",74053,74053
171,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI626-Guys-1094-T1_preprocessed.nii.gz,IXI626-Guys-1094-T1,524,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02199-101-seg.nii.gz,BraTS-GLI-02199-101,data\IXI_GLI\IXI626-Guys-1094-T1__BraTS-GLI-02199-101,"[111, 181, 82]","{""x_min"": 63, ""x_max"": 159, ""y_min"": 133, ""y_max"": 229, ""z_min"": 34, ""z_max"": 130}",23013,23013
172,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI252-HH-1693-T1_preprocessed.nii.gz,IXI252-HH-1693-T1,528,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-00063-100-seg.nii.gz,BraTS-GLI-00063-100,data\IXI_GLI\IXI252-HH-1693-T1__BraTS-GLI-00063-100,"[142, 201, 144]","{""x_min"": 94, ""x_max"": 190, ""y_min"": 153, ""y_max"": 249, ""z_min"": 96, ""z_max"": 192}",7549,7549
173,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI332-IOP-1134-T1_preprocessed.nii.gz,IXI332-IOP-1134-T1,533,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-00506-101-seg.nii.gz,BraTS-GLI-00506-101,data\IXI_GLI\IXI332-IOP-1134-T1__BraTS-GLI-00506-101,"[96, 95, 136]","{""x_min"": 48, ""x_max"": 144, ""y_min"": 47, ""y_max"": 143, ""z_min"": 88, ""z_max"": 184}",73431,73431
174,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI450-Guys-1093-T1_preprocessed.nii.gz,IXI450-Guys-1093-T1,535,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02111-105-seg.nii.gz,BraTS-GLI-02111-105,data\IXI_GLI\IXI450-Guys-1093-T1__BraTS-GLI-02111-105,"[120, 102, 143]","{""x_min"": 72, ""x_max"": 168, ""y_min"": 54, ""y_max"": 150, ""z_min"": 95, ""z_max"": 191}",48256,48256
175,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI023-Guys-0699-T1_preprocessed.nii.gz,IXI023-Guys-0699-T1,536,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02199-104-seg.nii.gz,BraTS-GLI-02199-104,data\IXI_GLI\IXI023-Guys-0699-T1__BraTS-GLI-02199-104,"[151, 164, 78]","{""x_min"": 103, ""x_max"": 199, ""y_min"": 116, ""y_max"": 212, ""z_min"": 30, ""z_max"": 126}",16608,16608
176,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI518-HH-2239-T1_preprocessed.nii.gz,IXI518-HH-2239-T1,538,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02217-101-seg.nii.gz,BraTS-GLI-02217-101,data\IXI_GLI\IXI518-HH-2239-T1__BraTS-GLI-02217-101,"[148, 81, 60]","{""x_min"": 100, ""x_max"": 196, ""y_min"": 33, ""y_max"": 129, ""z_min"": 12, ""z_max"": 108}",18662,18662
177,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI422-Guys-1071-T1_preprocessed.nii.gz,IXI422-Guys-1071-T1,544,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02558-101-seg.nii.gz,BraTS-GLI-02558-101,data\IXI_GLI\IXI422-Guys-1071-T1__BraTS-GLI-02558-101,"[92, 103, 85]","{""x_min"": 44, ""x_max"": 140, ""y_min"": 55, ""y_max"": 151, ""z_min"": 37, ""z_max"": 133}",44790,44790
178,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI210-Guys-0856-T1_preprocessed.nii.gz,IXI210-Guys-0856-T1,546,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02764-101-seg.nii.gz,BraTS-GLI-02764-101,data\IXI_GLI\IXI210-Guys-0856-T1__BraTS-GLI-02764-101,"[156, 121, 119]","{""x_min"": 108, ""x_max"": 204, ""y_min"": 73, ""y_max"": 169, ""z_min"": 71, ""z_max"": 167}",65166,65166
179,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI036-Guys-0736-T1_preprocessed.nii.gz,IXI036-Guys-0736-T1,547,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02146-103-seg.nii.gz,BraTS-GLI-02146-103,data\IXI_GLI\IXI036-Guys-0736-T1__BraTS-GLI-02146-103,"[78, 81, 118]","{""x_min"": 30, ""x_max"": 126, ""y_min"": 33, ""y_max"": 129, ""z_min"": 70, ""z_max"": 166}",12436,12436
180,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI025-Guys-0852-T1_preprocessed.nii.gz,IXI025-Guys-0852-T1,549,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02865-100-seg.nii.gz,BraTS-GLI-02865-100,data\IXI_GLI\IXI025-Guys-0852-T1__BraTS-GLI-02865-100,"[107, 151, 140]","{""x_min"": 59, ""x_max"": 155, ""y_min"": 103, ""y_max"": 199, ""z_min"": 92, ""z_max"": 188}",38530,38530
181,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI432-Guys-0987-T1_preprocessed.nii.gz,IXI432-Guys-0987-T1,550,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02978-100-seg.nii.gz,BraTS-GLI-02978-100,data\IXI_GLI\IXI432-Guys-0987-T1__BraTS-GLI-02978-100,"[158, 126, 71]","{""x_min"": 110, ""x_max"": 206, ""y_min"": 78, ""y_max"": 174, ""z_min"": 23, ""z_max"": 119}",31649,31649
182,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI143-Guys-0785-T1_preprocessed.nii.gz,IXI143-Guys-0785-T1,552,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02799-100-seg.nii.gz,BraTS-GLI-02799-100,data\IXI_GLI\IXI143-Guys-0785-T1__BraTS-GLI-02799-100,"[68, 145, 103]","{""x_min"": 20, ""x_max"": 116, ""y_min"": 97, ""y_max"": 193, ""z_min"": 55, ""z_max"": 151}",51469,51469
183,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI638-HH-2786-T1_preprocessed.nii.gz,IXI638-HH-2786-T1,555,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02941-100-seg.nii.gz,BraTS-GLI-02941-100,data\IXI_GLI\IXI638-HH-2786-T1__BraTS-GLI-02941-100,"[77, 104, 83]","{""x_min"": 29, ""x_max"": 125, ""y_min"": 56, ""y_max"": 152, ""z_min"": 35, ""z_max"": 131}",18545,18545
184,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI226-HH-1618-T1_preprocessed.nii.gz,IXI226-HH-1618-T1,557,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02904-101-seg.nii.gz,BraTS-GLI-02904-101,data\IXI_GLI\IXI226-HH-1618-T1__BraTS-GLI-02904-101,"[94, 162, 128]","{""x_min"": 46, ""x_max"": 142, ""y_min"": 114, ""y_max"": 210, ""z_min"": 80, ""z_max"": 176}",17121,17121
185,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI185-Guys-0795-T1_preprocessed.nii.gz,IXI185-Guys-0795-T1,560,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02360-100-seg.nii.gz,BraTS-GLI-02360-100,data\IXI_GLI\IXI185-Guys-0795-T1__BraTS-GLI-02360-100,"[168, 156, 77]","{""x_min"": 120, ""x_max"": 216, ""y_min"": 108, ""y_max"": 204, ""z_min"": 29, ""z_max"": 125}",54831,54831
186,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI636-HH-2733-T1_preprocessed.nii.gz,IXI636-HH-2733-T1,562,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02100-100-seg.nii.gz,BraTS-GLI-02100-100,data\IXI_GLI\IXI636-HH-2733-T1__BraTS-GLI-02100-100,"[84, 94, 132]","{""x_min"": 36, ""x_max"": 132, ""y_min"": 46, ""y_max"": 142, ""z_min"": 84, ""z_max"": 180}",17584,17584
187,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI329-HH-1908-T1_preprocessed.nii.gz,IXI329-HH-1908-T1,564,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-00080-100-seg.nii.gz,BraTS-GLI-00080-100,data\IXI_GLI\IXI329-HH-1908-T1__BraTS-GLI-00080-100,"[78, 129, 150]","{""x_min"": 30, ""x_max"": 126, ""y_min"": 81, ""y_max"": 177, ""z_min"": 102, ""z_max"": 198}",38747,38747
188,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI102-HH-1416-T1_preprocessed.nii.gz,IXI102-HH-1416-T1,566,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02750-100-seg.nii.gz,BraTS-GLI-02750-100,data\IXI_GLI\IXI102-HH-1416-T1__BraTS-GLI-02750-100,"[129, 184, 129]","{""x_min"": 81, ""x_max"": 177, ""y_min"": 136, ""y_max"": 232, ""z_min"": 81, ""z_max"": 177}",11356,11356
189,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI306-IOP-0867-T1_preprocessed.nii.gz,IXI306-IOP-0867-T1,567,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02216-102-seg.nii.gz,BraTS-GLI-02216-102,data\IXI_GLI\IXI306-IOP-0867-T1__BraTS-GLI-02216-102,"[131, 169, 128]","{""x_min"": 83, ""x_max"": 179, ""y_min"": 121, ""y_max"": 217, ""z_min"": 80, ""z_max"": 176}",28330,28330
190,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI067-HH-1356-T1_preprocessed.nii.gz,IXI067-HH-1356-T1,576,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02072-104-seg.nii.gz,BraTS-GLI-02072-104,data\IXI_GLI\IXI067-HH-1356-T1__BraTS-GLI-02072-104,"[113, 62, 99]","{""x_min"": 65, ""x_max"": 161, ""y_min"": 14, ""y_max"": 110, ""z_min"": 51, ""z_max"": 147}",79786,79786
191,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI177-Guys-0831-T1_preprocessed.nii.gz,IXI177-Guys-0831-T1,577,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02769-101-seg.nii.gz,BraTS-GLI-02769-101,data\IXI_GLI\IXI177-Guys-0831-T1__BraTS-GLI-02769-101,"[103, 105, 114]","{""x_min"": 55, ""x_max"": 151, ""y_min"": 57, ""y_max"": 153, ""z_min"": 66, ""z_max"": 162}",31345,31345
192,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI317-Guys-0896-T1_preprocessed.nii.gz,IXI317-Guys-0896-T1,580,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02977-100-seg.nii.gz,BraTS-GLI-02977-100,data\IXI_GLI\IXI317-Guys-0896-T1__BraTS-GLI-02977-100,"[192, 144, 96]","{""x_min"": 144, ""x_max"": 240, ""y_min"": 96, ""y_max"": 192, ""z_min"": 48, ""z_max"": 144}",13940,13940
193,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI084-Guys-0741-T1_preprocessed.nii.gz,IXI084-Guys-0741-T1,584,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-03059-100-seg.nii.gz,BraTS-GLI-03059-100,data\IXI_GLI\IXI084-Guys-0741-T1__BraTS-GLI-03059-100,"[108, 136, 128]","{""x_min"": 60, ""x_max"": 156, ""y_min"": 88, ""y_max"": 184, ""z_min"": 80, ""z_max"": 176}",116345,116345
194,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI053-Guys-0727-T1_preprocessed.nii.gz,IXI053-Guys-0727-T1,595,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-00472-100-seg.nii.gz,BraTS-GLI-00472-100,data\IXI_GLI\IXI053-Guys-0727-T1__BraTS-GLI-00472-100,"[75, 133, 159]","{""x_min"": 27, ""x_max"": 123, ""y_min"": 85, ""y_max"": 181, ""z_min"": 111, ""z_max"": 207}",22348,22348
195,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI634-HH-2690-T1_preprocessed.nii.gz,IXI634-HH-2690-T1,597,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02953-101-seg.nii.gz,BraTS-GLI-02953-101,data\IXI_GLI\IXI634-HH-2690-T1__BraTS-GLI-02953-101,"[129, 60, 125]","{""x_min"": 81, ""x_max"": 177, ""y_min"": 12, ""y_max"": 108, ""z_min"": 77, ""z_max"": 173}",24113,24113
196,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI217-HH-1638-T1_preprocessed.nii.gz,IXI217-HH-1638-T1,598,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02875-100-seg.nii.gz,BraTS-GLI-02875-100,data\IXI_GLI\IXI217-HH-1638-T1__BraTS-GLI-02875-100,"[106, 70, 54]","{""x_min"": 58, ""x_max"": 154, ""y_min"": 22, ""y_max"": 118, ""z_min"": 6, ""z_max"": 102}",28963,28963
197,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI463-IOP-1043-T1_preprocessed.nii.gz,IXI463-IOP-1043-T1,605,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02933-100-seg.nii.gz,BraTS-GLI-02933-100,data\IXI_GLI\IXI463-IOP-1043-T1__BraTS-GLI-02933-100,"[106, 117, 90]","{""x_min"": 58, ""x_max"": 154, ""y_min"": 69, ""y_max"": 165, ""z_min"": 42, ""z_max"": 138}",56264,56264
198,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI303-IOP-0968-T1_preprocessed.nii.gz,IXI303-IOP-0968-T1,610,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02132-101-seg.nii.gz,BraTS-GLI-02132-101,data\IXI_GLI\IXI303-IOP-0968-T1__BraTS-GLI-02132-101,"[138, 84, 108]","{""x_min"": 90, ""x_max"": 186, ""y_min"": 36, ""y_max"": 132, ""z_min"": 60, ""z_max"": 156}",41091,41091
199,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI478-IOP-1142-T1_preprocessed.nii.gz,IXI478-IOP-1142-T1,622,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02063-101-seg.nii.gz,BraTS-GLI-02063-101,data\IXI_GLI\IXI478-IOP-1142-T1__BraTS-GLI-02063-101,"[173, 189, 119]","{""x_min"": 125, ""x_max"": 221, ""y_min"": 141, ""y_max"": 237, ""z_min"": 71, ""z_max"": 167}",50323,50323
200,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI297-Guys-0886-T1_preprocessed.nii.gz,IXI297-Guys-0886-T1,626,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02135-100-seg.nii.gz,BraTS-GLI-02135-100,data\IXI_GLI\IXI297-Guys-0886-T1__BraTS-GLI-02135-100,"[139, 106, 89]","{""x_min"": 91, ""x_max"": 187, ""y_min"": 58, ""y_max"": 154, ""z_min"": 41, ""z_max"": 137}",63326,63326
201,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\preprocessed\preprocessedGliGAN\IXI\IXI039-HH-1261-T1_preprocessed.nii.gz,IXI039-HH-1261-T1,631,C:\Users\P102179\OneDrive - Amsterdam UMC\Bureaublad\storage\raw\CM_BraTS_Masks\BraTS-GLI-02897-101-seg.nii.gz,BraTS-GLI-02897-101,data\IXI_GLI\IXI039-HH-1261-T1__BraTS-GLI-02897-101,"[129, 110, 72]","{""x_min"": 81, ""x_max"": 177, ""y_min"": 62, ""y_max"": 158, ""z_min"": 24, ""z_max"": 120}",32221,32221
